category,accuracy,grp_size,gt_id,run_id
money-supply,0.5629139072847682,151,2a1b2d1d-1666-47f-GT_TOPIC_money-supply,2a1b2d1d-1666-47f
silver,0.75,4,2a1b2d1d-1666-47f-GT_TOPIC_silver,2a1b2d1d-1666-47f
cotton,0.875,24,2a1b2d1d-1666-47f-GT_TOPIC_cotton,2a1b2d1d-1666-47f
wpi,0.8260869565217391,23,2a1b2d1d-1666-47f-GT_TOPIC_wpi,2a1b2d1d-1666-47f
lumber,1.0,14,2a1b2d1d-1666-47f-GT_TOPIC_lumber,2a1b2d1d-1666-47f
nzdlr,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_nzdlr,2a1b2d1d-1666-47f
coconut,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_coconut,2a1b2d1d-1666-47f
earn,0.2398674483813408,3923,2a1b2d1d-1666-47f-GT_TOPIC_earn,2a1b2d1d-1666-47f
propane,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_propane,2a1b2d1d-1666-47f
orange,0.6818181818181818,22,2a1b2d1d-1666-47f-GT_TOPIC_orange,2a1b2d1d-1666-47f
jet,1.0,3,2a1b2d1d-1666-47f-GT_TOPIC_jet,2a1b2d1d-1666-47f
rand,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_rand,2a1b2d1d-1666-47f
fuel,0.9090909090909091,11,2a1b2d1d-1666-47f-GT_TOPIC_fuel,2a1b2d1d-1666-47f
interest,0.5772058823529411,272,2a1b2d1d-1666-47f-GT_TOPIC_interest,2a1b2d1d-1666-47f
money-fx,0.7022653721682848,309,2a1b2d1d-1666-47f-GT_TOPIC_money-fx,2a1b2d1d-1666-47f
livestock,0.36363636363636365,22,2a1b2d1d-1666-47f-GT_TOPIC_livestock,2a1b2d1d-1666-47f
naphtha,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_naphtha,2a1b2d1d-1666-47f
hog,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_hog,2a1b2d1d-1666-47f
ipi,0.6666666666666666,45,2a1b2d1d-1666-47f-GT_TOPIC_ipi,2a1b2d1d-1666-47f
instal-debt,0.8333333333333334,6,2a1b2d1d-1666-47f-GT_TOPIC_instal-debt,2a1b2d1d-1666-47f
crude,0.6684491978609626,374,2a1b2d1d-1666-47f-GT_TOPIC_crude,2a1b2d1d-1666-47f
heat,0.9,10,2a1b2d1d-1666-47f-GT_TOPIC_heat,2a1b2d1d-1666-47f
retail,0.55,20,2a1b2d1d-1666-47f-GT_TOPIC_retail,2a1b2d1d-1666-47f
yen,1.0,6,2a1b2d1d-1666-47f-GT_TOPIC_yen,2a1b2d1d-1666-47f
pet-chem,0.7368421052631579,19,47731332-c84e-4a9-GT_TOPIC_pet-chem,47731332-c84e-4a9
ship,0.7777777777777778,144,47731332-c84e-4a9-GT_TOPIC_ship,47731332-c84e-4a9
sugar,0.819672131147541,122,47731332-c84e-4a9-GT_TOPIC_sugar,47731332-c84e-4a9
rice,1.0,1,47731332-c84e-4a9-GT_TOPIC_rice,47731332-c84e-4a9
zinc,0.9230769230769231,13,47731332-c84e-4a9-GT_TOPIC_zinc,47731332-c84e-4a9
oilseed,0.8888888888888888,9,47731332-c84e-4a9-GT_TOPIC_oilseed,47731332-c84e-4a9
gold,0.7111111111111111,90,47731332-c84e-4a9-GT_TOPIC_gold,47731332-c84e-4a9
reserves,0.5102040816326531,49,47731332-c84e-4a9-GT_TOPIC_reserves,47731332-c84e-4a9
meal-feed,1.0,11,47731332-c84e-4a9-GT_TOPIC_meal-feed,47731332-c84e-4a9
lead,0.875,8,47731332-c84e-4a9-GT_TOPIC_lead,47731332-c84e-4a9
nickel,1.0,4,47731332-c84e-4a9-GT_TOPIC_nickel,47731332-c84e-4a9
tea,1.0,5,47731332-c84e-4a9-GT_TOPIC_tea,47731332-c84e-4a9
